# y   Re(v)   Im(v)
2.34069 -0.0192729 -0.0206281
2.37951 -0.0191538 -0.0204978
2.41882 -0.0190353 -0.0203698
2.4586 -0.0189178 -0.0202441
2.49887 -0.0188014 -0.0201206
2.53962 -0.0186862 -0.0199991
2.58088 -0.0185724 -0.0198796
2.62263 -0.0184599 -0.0197618
2.6649 -0.0183488 -0.0196453
2.70767 -0.018239 -0.0195302
2.75097 -0.0181304 -0.0194161
2.79479 -0.0180228 -0.0193029
2.83914 -0.0179163 -0.0191906
2.88403 -0.0178105 -0.0190788
2.92947 -0.0177055 -0.0189677
2.97545 -0.0176011 -0.0188571
3.02199 -0.0174972 -0.0187469
3.06909 -0.0173939 -0.0186371
3.11676 -0.0172908 -0.0185275
3.165 -0.017188 -0.0184183
3.21383 -0.0170855 -0.0183092
3.26325 -0.0169832 -0.0182001
3.31326 -0.0168811 -0.0180911
3.36387 -0.016779 -0.0179823
3.4151 -0.0166769 -0.0178735
3.46694 -0.0165749 -0.0177645
3.5194 -0.0164728 -0.0176557
3.5725 -0.0163699 -0.0175472
3.62623 -0.0162664 -0.0174388
3.68062 -0.016163 -0.0173291
3.73565 -0.0160601 -0.0172174
3.79134 -0.0159573 -0.0171044
3.84771 -0.0158536 -0.0169919
3.90474 -0.0157487 -0.0168806
3.96247 -0.0156433 -0.0167696
4.02088 -0.015538 -0.0166577
4.08 -0.0154327 -0.0165449
4.13982 -0.0153269 -0.0164315
4.20036 -0.0152205 -0.0163177
4.26163 -0.0151136 -0.0162033
4.32362 -0.0150065 -0.0160881
4.38636 -0.0148987 -0.0159726
4.44985 -0.0147903 -0.0158567
4.5141 -0.0146816 -0.0157403
4.57911 -0.0145725 -0.0156233
4.6449 -0.0144628 -0.0155058
4.71147 -0.0143526 -0.0153879
4.77884 -0.014242 -0.0152695
4.84701 -0.014131 -0.0151505
4.91599 -0.0140196 -0.015031
4.98579 -0.0139075 -0.0149112
5.05643 -0.0137951 -0.0147908
5.1279 -0.0136823 -0.0146699
5.20022 -0.0135689 -0.0145484
5.27339 -0.0134551 -0.0144266
5.34744 -0.0133408 -0.0143043
5.42236 -0.0132263 -0.0141812
5.49816 -0.0131114 -0.0140578
5.57486 -0.0129959 -0.0139342
5.65247 -0.01288 -0.0138105
5.73099 -0.0127639 -0.0136862
5.81044 -0.0126474 -0.0135612
5.89082 -0.0125306 -0.013436
5.97215 -0.0124134 -0.0133105
6.05443 -0.0122958 -0.0131846
6.13767 -0.012178 -0.0130583
6.22189 -0.0120599 -0.0129317
6.30709 -0.0119415 -0.0128049
6.39329 -0.0118228 -0.0126778
6.48049 -0.0117039 -0.0125504
6.5687 -0.0115847 -0.0124227
6.65794 -0.0114653 -0.0122948
6.74821 -0.0113456 -0.0121667
6.83952 -0.0112258 -0.0120383
6.93188 -0.0111059 -0.0119097
7.02531 -0.0109857 -0.0117811
7.11981 -0.0108653 -0.0116522
7.21539 -0.0107449 -0.0115232
7.31206 -0.0106244 -0.011394
7.40984 -0.0105037 -0.0112647
7.50872 -0.0103829 -0.0111355
7.60872 -0.0102621 -0.011006
7.70986 -0.0101412 -0.0108765
7.81213 -0.0100203 -0.010747
7.91555 -0.00989933 -0.0106175
8.02012 -0.00977842 -0.010488
