# Blasius solution at Re_deltaStar = 1000 (important for the v component, not for u) and using deltaStar = 1
# y u v u_y u_yy
0.0 -5.838866770675288e-27 5.105226016884352e-34 0.3320573362152292 9.851463918482415e-32
0.01743387678827694 0.009961718225784805 1.2856499887027453e-07 0.3320570881256635 -2.4808946381428675e-05
0.03486775357655388 0.01992341040220955 5.142589196737671e-07 0.33205535150441207 -9.923521463421506e-05
0.05230163036483082 0.029885009545853002 1.157075999187556e-06 0.33205063786851874 -0.00022327574645482305
0.06973550715310776 0.0398464040208237 2.0570012533433666e-06 0.3320414588940559 -0.00039692259054663093
0.0871693839413847 0.04980743754609952 3.214005867846749e-06 0.3320263265996005 -0.000620160457102471
0.10460326072966164 0.05976790920947183 4.628042590685841e-06 0.33200375360305134 -0.0008929642740628229
0.12203713751793858 0.06972757349029333 6.299041127921536e-06 0.331972253451716 -0.0012152967464573307
0.13947101430621553 0.0796861402932263 8.22690354454774e-06 0.33193034102555113 -0.0015871059205097193
0.1569048910944925 0.08964327499518315 1.041149967260625e-05 0.3318765330133826 -0.0020083227545572976
0.1743387678827694 0.09959859850764538 1.2852662529135413e-05 0.3318093484618661 -0.002478858699205397
0.19177264467104632 0.10955168735653871 1.5550183746924416e-05 0.3317273093968705 -0.0029986032895036254
0.20920652145932328 0.11950207378183098 1.850380902143526e-05 0.3316289415168762 -0.0035674217522937354
0.22664039824760024 0.12944924585900597 2.171323357764163e-05 0.33151277495788267 -0.0041851526322374075
0.24407427503587717 0.1393926476445497 2.517809766091689e-05 0.33137734512920625 -0.004851605440385034
0.2615081518241541 0.14933167934756478 2.8897982056482045e-05 0.3312211936194316 -0.0055665583294926034
0.27894202861243106 0.15926569752960495 3.287240364229695e-05 0.33104286917164544 -0.006329755800631601
0.296375905400708 0.16919401533479347 3.710081098064401e-05 0.330840928726942 -0.007140906445965122
0.313809782188985 0.17911590275225636 4.158257995401215e-05 0.3306139385350387 -0.007999680732880488
0.3312436589772618 0.18903058691286437 4.6317009451237194e-05 0.33036047533067875 -0.00890570883497311
0.3486775357655388 0.19893725242223573 5.130331711019501e-05 0.3300791275743295 -0.009858578515666232
0.36611141255381574 0.20883504173190312 5.654063512366995e-05 0.32976849675550785 -0.01085783307052497
0.38354528934209264 0.21872305555049731 6.202800611533705e-05 0.3294271987568762 -0.011902969334578677
0.4009791661303696 0.2286003532967398 6.776437909309625e-05 0.32905386527706304 -0.012993435761201303
0.41841304291864656 0.23846595359597283 7.374860548728198e-05 0.32864714530995875 -0.014128630579313073
0.4358469197069235 0.24831883482188533 7.997943528153913e-05 0.3282057066780341 -0.015307900035856581
0.4532807964952005 0.25815793568501555 8.645551324440577e-05 0.3277282376170168 -0.01653053673066407
0.4707146732834774 0.2679821558695286 9.3175375269871e-05 0.327213448409045 -0.017795778050968363
0.48814855007175434 0.27779035671967756 0.00010013744483538436 0.32666007306119965 -0.019102804712915783
0.5055824268600313 0.2875813619772594 0.00010734002958597583 0.3260668710260933 -0.02045073941751275
0.5230163036483082 0.29735395857127617 0.00011478131805330494 0.32543262896097036 -0.02183864562847779
0.5404501804365851 0.30710689746089936 0.000122459376518589 0.32475616252155054 -0.023265526479474264
0.5578840572248621 0.31683889453272146 0.0001303721460284646 0.3240363181866204 -0.02473032381816517
0.575317934013139 0.32654863155315395 0.00013851743957291057 0.32327197510915967 -0.026231917394458404
0.592751810801416 0.33623475717670187 0.00014689293943440497 0.322462046989566 -0.027769124200196088
0.6101856875896929 0.34589588801070886 0.00015549619471749663 0.32160548396632854 -0.02934069796738508
0.62761956437797 0.3555306097370237 0.00016432461906795142 0.3207012745192902 -0.0309453288318649
0.6450534411662467 0.36513747829089016 0.00017337548859057192 0.31974844738043423 -0.0325816431690638
0.6624873179545236 0.37471502109720844 0.000182645939974696 0.3187460734469377 -0.03424820360820238
0.6799211947428007 0.38426173836415356 0.00019213296883624498 0.317693267691046 -0.03594350923096574
0.6973550715310776 0.39377610443397304 0.00020183342828502228 0.31658919106114897 -0.03766599596028027
0.7147889483193546 0.4032565691906123 0.00021174402772575017 0.31543305236827707 -0.03941403714439892
0.7322228251076315 0.41270155952364257 0.0002218613319010832 0.31422411015208523 -0.04118594434101842
0.7496567018959085 0.4221094808477846 0.00023218176018454151 0.3129616745202599 -0.042979968305626205
0.7670905786841853 0.4314787186771393 0.00024270158613097566 0.31164510895516584 -0.044794300187701315
0.7845244554724623 0.44080764025304775 0.00025341693729179904 0.3102738320814507 -0.046627072937775675
0.8019583322607392 0.45009459622431375 0.00026432379530180207 0.30884731938824533 -0.04847636292770005
0.8193922090490162 0.459337922378332 0.0002754179962439124 0.30736510489953556 -0.050340191785754516
0.8368260858372931 0.4685359414214686 0.0002866952312977544 0.3058267827862469 -0.05221652844749864
0.8542599626255701 0.47768696480684897 0.00029815104767732663 0.3042320089135645 -0.05410329142247349
0.871693839413847 0.48678929460751347 0.0003097808498625339 0.3025805023170222 -0.05599835127605009
0.8891277162021239 0.4958412254327059 0.0003215799011286849 0.3008720466009278 -0.057899533324868274
0.906561592990401 0.504841046384871 0.0003335433253774138 0.29910649125274974 -0.05980462054343103
0.9239954697786777 0.5137870430547435 0.000345666109271783 0.29728375286718 -0.061711356678515426
0.9414293465669548 0.5226774995517274 0.0003579431046775972 0.2954038162736991 -0.06361744956713614
0.9588632233552317 0.5315107005665782 0.0003703690314121924 0.2934667355616129 -0.0655205746528559
0.9762971001435087 0.5402849334632269 0.0003829384803011717 0.2914726349967009 -0.06741837869428437
